Application_mode,Course,Gender,Previous_qualification,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Debtor,Status (Actual),PredictedStatus,Probability
1st Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,3,11,5,11.4,1,0,19,0,1,1,0.2333
Change of Course,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,12,12.30769231,17,13.05882353,1,0,28,0,1,1,0.2667
Technological Specialization Diploma Holders,Agronomy,Male,Technological Specialization Course,4,10.5,4,11.75,1,0,21,0,1,1,0.2267
Change of Course,Social Service,Male,Technological Specialization Course,10,11.8,10,12.4,1,0,21,0,1,1,0.2267
1st Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,4,11.5,6,13.42857143,1,0,20,0,1,1,0.24
Over 23 Years Old,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.4,5,11,1,0,40,0,1,1,0.26
2nd Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14.42857143,6,13.625,1,1,22,0,1,1,0.16
Transfer,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,2,11.5,4,11.8,1,0,19,0,1,0,0.5
1st Phase - General Contingent,Social Service,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11,5,10.8,1,0,19,0,1,1,0.26
1st Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.33333333,6,12.83333333,1,0,19,0,1,1,0.2467
2nd Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.42857143,6,15.125,1,0,19,0,1,1,0.26
1st Phase - General Contingent,Social Service,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11,5,11.4,1,0,22,0,1,1,0.26
1st Phase - General Contingent,Social Service,Male,Secondary Education - 12th Year of Schooling or Eq.,6,11,4,12.25,1,0,19,0,1,1,0.26
Technological Specialization Diploma Holders,Informatics Engineering,Male,Technological Specialization Course,1,14,3,14,1,0,23,0,1,1,0.3667
2nd Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,5,10.8,6,12.33333333,1,0,18,0,1,1,0.2667
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,2,11,5,10.66666667,1,1,22,1,1,1,0.26
3rd Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,5,14.71428571,5,11.83333333,1,0,19,0,1,1,0.3733
1st Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12.16666667,6,11.66666667,1,1,22,0,1,1,0.1533
2nd Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,5,14.2,5,13,1,1,18,0,1,1,0.24
1st Phase - General Contingent,Social Service,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14,6,13.85714286,1,1,19,0,1,1,0.1533
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,12.4875,6,13.39166667,1,0,18,0,1,1,0.2933
Technological Specialization Diploma Holders,Equinculture,Male,Technological Specialization Course,5,14.6,4,14.5,1,0,22,0,1,1,0.26
1st Phase - General Contingent,Social Service,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12.16666667,6,12.16666667,1,0,19,0,1,1,0.26
2nd Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14.71428571,6,13.71428571,1,0,20,0,1,1,0.28
Change of Course,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,4,16.5,5,16,1,0,38,0,1,1,0.24
Over 23 Years Old,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,7,14.08571429,7,14.08571429,1,0,27,0,1,1,0.3333
3rd Phase - General Contingent,Social Service,Male,Secondary Education - 12th Year of Schooling or Eq.,6,10.5,6,10.16666667,1,0,21,0,1,1,0.2467
Change of Institution/Course,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,1,10,0,0,1,0,19,0,1,1,0.48
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,1,18,0,1,0,0.54
Over 23 Years Old,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,5,13.33333333,1,0,34,0,1,1,0.2333
1st Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14.33333333,6,13.57142857,1,1,18,0,1,1,0.14
2nd Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,6,11.16666667,6,12.83333333,1,1,19,0,1,1,0.1667
2nd Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.71428571,5,15.8,1,0,20,0,1,1,0.4
2nd Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,3,14.66666667,4,12.5,1,0,18,0,1,1,0.3933
Change of Course,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,12,11.5,18,11.66666667,1,0,35,0,1,1,0.2667
2nd Phase - General Contingent,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,5,13,4,13,1,0,23,0,1,1,0.2733
2nd Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,11.50625,7,12.12142857,1,0,19,0,1,1,0.3133
Short Cycle Diploma Holders,Veterinary Nursing,Male,Professional Higher Technical Course,7,13.75,9,14.22222222,1,1,21,0,1,1,0.2267
Change of Course,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,4,13.25,4,12.5,1,0,19,0,1,1,0.2467
3rd Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,5,15.28571429,5,12.16666667,1,0,20,0,1,1,0.3733
Over 23 Years Old,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,6,11.5,6,12.66666667,1,0,44,0,1,1,0.2933
3rd Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,7,13.61428571,7,13.61428571,1,0,19,0,1,1,0.2933
Technological Specialization Diploma Holders,Equinculture,Male,Technological Specialization Course,10,14.3,12,12.85714286,1,0,22,0,1,1,0.26
1st Phase - General Contingent,Equinculture,Male,Secondary Education - 12th Year of Schooling or Eq.,5,14.2,4,14,1,0,18,0,1,1,0.28
2nd Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.8,4,14.75,1,1,21,0,1,1,0.1533
2nd Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14.28571429,6,13.625,1,0,18,0,1,1,0.26
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,19,0,1,0,0.7092
Over 23 Years Old,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14.6,6,15.125,1,0,31,0,1,1,0.2333
Over 23 Years Old,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,1,11,1,10,1,0,24,1,1,1,0.4067
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.8,3,10.33333333,1,0,20,0,1,1,0.3533
Technological Specialization Diploma Holders,Informatics Engineering,Male,Technological Specialization Course,2,11.66666667,0,0,1,0,22,0,1,1,0.4267
1st Phase - General Contingent,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,4,12.5,4,12,1,1,19,0,1,1,0.1333
3rd Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14.5,6,13.83333333,1,0,19,0,1,1,0.24
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,11,11.90909091,13,12.15384615,1,0,23,1,1,1,0.2333
2nd Phase - General Contingent,Equinculture,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.66666667,6,14,1,0,18,0,1,1,0.3
1st Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.8,6,16.5,0,0,29,0,1,1,0.2467
Technological Specialization Diploma Holders,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.77777778,6,11.28571429,1,0,20,0,1,1,0.22
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,1,19,0,1,0,0.54
2nd Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,22,0,1,0,0.58
1st Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12,5,14,1,0,20,0,1,1,0.2333
Over 23 Years Old,Equinculture,Male,Secondary Education - 12th Year of Schooling or Eq.,3,12,4,13.75,1,0,24,0,1,1,0.2933
Over 23 Years Old,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,4,14.75,4,14.25,1,1,25,0,1,1,0.28
1st Phase - General Contingent,Equinculture,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12.5,6,13.5,1,1,18,0,1,1,0.1867
2nd Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12.85714286,5,12.66666667,1,1,19,0,1,1,0.16
1st Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12.33333333,6,15.16666667,1,1,19,0,1,1,0.1533
Short Cycle Diploma Holders,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,9,11.44444444,10,11.8,1,0,21,1,1,1,0.2467
2nd Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,4,11.5,1,0,20,0,1,0,0.5667
Technological Specialization Diploma Holders,Communication Design,Male,Technological Specialization Course,6,11.33333333,6,14.5,1,0,21,0,1,1,0.2733
1st Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,3,10.66666667,5,13.4,1,0,22,0,1,1,0.24
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,0,0,19,1,1,0,0.7092
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,3,12.33333333,2,13.5,1,0,18,0,1,1,0.3733
2nd Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.5,5,12.75,1,1,18,0,1,1,0.2267
Change of Course,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,3,12.33333333,3,11.33333333,1,0,22,0,1,1,0.28
1st Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,5,11.4,1,0,19,0,1,1,0.2467
2nd Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14.57142857,6,14.42857143,1,0,19,0,1,1,0.2667
2nd Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,11.7125,7,12.49285714,1,0,19,0,1,1,0.3133
Over 23 Years Old,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.8,5,11.2,1,0,52,0,1,1,0.26
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,7,15.88571429,7,15.88571429,1,0,19,0,1,1,0.2933
Over 23 Years Old,Social Service (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,6,14.16666667,6,14,0,0,35,0,1,1,0.2467
Over 23 Years Old,Animation and Multimedia Design,Male,Other - 11th Year of Schooling,0,0,0,0,1,0,36,0,1,0,0.6267
Over 23 Years Old,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,4,12.5,3,10.66666667,1,0,43,0,1,1,0.2133
Over 23 Years Old,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,3,10.66666667,5,11.8,1,0,41,0,1,1,0.18
Change of Course,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,10,11.18181818,8,11.625,1,0,23,0,1,1,0.3733
Change of Course,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,14,11.35714286,15,10.8,1,0,25,0,1,1,0.26
Short Cycle Diploma Holders,Animation and Multimedia Design,Male,Professional Higher Technical Course,11,12.66666667,11,12.54545455,0,1,22,0,1,1,0.1933
Over 23 Years Old,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.4,7,13.57142857,1,0,24,0,1,1,0.2333
Over 23 Years Old,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.2,6,14.77777778,1,0,43,0,1,1,0.2333
Over 23 Years Old,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.6,5,11.4,1,1,36,0,1,1,0.2
1st Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.6,4,11.5,1,1,18,0,1,1,0.1467
1st Phase - General Contingent,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,5,16,5,16,1,1,24,0,1,1,0.1667
2nd Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,3,13,4,12,1,0,18,0,1,1,0.3933
Change of Course,Veterinary Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,3,11.66666667,0,0,1,0,21,0,1,1,0.4867
Transfer,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.6,5,13,1,0,21,0,1,1,0.4667
Over 23 Years Old,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,12,12.08333333,13,13.71428571,1,0,32,0,1,1,0.2333
Over 23 Years Old,Social Service (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,3,11,5,11.4,1,0,39,0,1,1,0.24
Over 23 Years Old,Agronomy,Male,Higher Education - Degree,12,17.69230769,6,18.875,1,0,32,0,1,1,0.2067
Over 23 Years Old,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,4,12.6,6,11.33333333,1,0,34,0,1,1,0.3333
Over 23 Years Old,Tourism,Male,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,3,10,2,15,1,0,53,0,1,1,0.2333
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,0,0,18,1,1,0,0.7092
1st Phase - General Contingent,Veterinary Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,4,12,5,12.6,1,0,19,0,1,1,0.2467
International Student (Bachelor),Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,11,13.08333333,12,15.08333333,1,0,21,0,1,1,0.2067
Technological Specialization Diploma Holders,Agronomy,Male,Technological Specialization Course,6,15.3,6,14.5,1,0,20,0,1,1,0.22
Over 23 Years Old,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.5,6,14.5,1,0,55,0,1,1,0.2333
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,1,13,3,10,1,0,27,0,1,1,0.38
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.2,5,11.6,1,0,18,0,1,1,0.3467
1st Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,1,16,4,10,1,0,18,0,1,1,0.4
Technological Specialization Diploma Holders,Agronomy,Male,Technological Specialization Course,6,12.3,5,13.83333333,1,1,20,0,1,1,0.1133
Technological Specialization Diploma Holders,Equinculture,Male,Technological Specialization Course,2,11,5,11.6,1,0,19,0,1,1,0.2667
1st Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,6,15,6,14.33333333,1,0,20,0,1,1,0.2467
Change of Course,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,20,13.5,20,13.5,1,1,28,0,1,1,0.14
1st Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.2,6,12.66666667,1,0,23,0,1,1,0.26
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,7,11.34714286,7,12.44428571,1,0,18,0,1,1,0.2933
Change of Course,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,22,0,1,0,0.6533
1st Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,6,12.66666667,1,1,22,0,1,1,0.1533
Over 23 Years Old,Management (Evening Attendance),Male,Other - 11th Year of Schooling,5,14.83333333,5,13.2,1,0,33,0,1,1,0.2467
Short Cycle Diploma Holders,Agronomy,Male,Professional Higher Technical Course,11,12.18181818,10,12.7,1,0,21,0,1,1,0.24
Over 23 Years Old,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,14.8,5,14.83333333,1,0,45,0,1,1,0.3267
2nd Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,2,12.5,3,12.66666667,1,0,20,0,1,1,0.4
1st Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12.5,6,14.71428571,1,1,20,0,1,1,0.1667
2nd Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,4,10.25,3,13.66666667,1,0,20,0,1,1,0.28
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,2,13.5,5,10.8,1,0,19,0,1,1,0.3933
Over 23 Years Old,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.5,6,15,1,0,31,0,1,1,0.2333
1st Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14,6,12.66666667,1,1,19,1,1,1,0.1467
Over 23 Years Old,Journalism and Communication,Male,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,6,13.66666667,6,13.16666667,1,0,28,0,1,1,0.2267
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,1,20,0,1,0,0.54
1st Phase - General Contingent,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.5,6,13,1,0,43,0,1,1,0.18
Technological Specialization Diploma Holders,Veterinary Nursing,Female,Technological Specialization Course,5,13.375,6,13.33333333,1,0,20,0,1,1,0.2067
Over 23 Years Old,Social Service (Evening Attendance),Female,Other - 11th Year of Schooling,6,13.33333333,3,12.33333333,1,0,46,0,1,1,0.1733
Change of Institution/Course,Biofuel Production Technologies,Female,Secondary Education - 12th Year of Schooling or Eq.,14,11.64285714,20,13.18181818,1,0,26,0,1,1,0.2533
Over 23 Years Old,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.07142857,6,12.51333333,1,1,34,0,1,1,0.2067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.58571429,7,13.58571429,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Oral Hygiene,Female,Secondary Education - 12th Year of Schooling or Eq.,8,11.425,7,11.15555556,1,0,18,0,1,1,0.2133
Over 23 Years Old,Social Service (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,5,12,6,11.85714286,1,1,37,0,1,1,0.1733
2nd Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,1,23,0,1,0,0.5933
Change of Course,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,13,13.61538462,14,14,1,0,26,0,1,1,0.24
International Student (Bachelor),Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.42,4,11.575,1,0,18,0,1,1,0.1933
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.0625,7,13.19857143,1,0,19,0,1,1,0.2667
Ordinance No. 854-B/99,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12,6,13.5,1,0,18,0,1,1,0.2333
2nd Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,1,10,4,14.25,1,0,20,0,1,1,0.4267
2nd Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,4,12,6,12.16666667,1,1,22,0,1,1,0.2133
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.21428571,7,12.21428571,1,1,18,0,1,1,0.2067
2nd Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13,6,12.66666667,1,1,18,0,1,1,0.1733
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.5,6,12.28571429,1,1,18,0,1,1,0.14
1st Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13,6,13,1,1,18,0,1,1,0.1667
1st Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.16666667,6,12.14285714,1,0,18,0,1,1,0.2267
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.08571429,7,13.87571429,1,1,19,0,1,1,0.22
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,3,11,6,13.15384615,1,0,18,0,1,1,0.2467
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.65625,7,14.44142857,1,1,18,0,1,1,0.22
2nd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.28571429,6,15.16666667,1,0,18,0,1,1,0.28
2nd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,12.625,5,11.6,1,1,18,0,1,1,0.2067
2nd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.33333333,6,11.66666667,1,0,18,1,1,1,0.28
Technological Specialization Diploma Holders,Agronomy,Female,Technological Specialization Course,6,13.2,6,12.625,1,1,20,0,1,1,0.1
1st Phase - Special Contingent (Madeira Island),Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11,3,12.66666667,1,1,19,0,1,1,0.1467
2nd Phase - General Contingent,Equinculture,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13,6,12.83333333,1,1,18,0,1,1,0.2333
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.14285714,6,11.85714286,1,1,19,0,1,1,0.14
2nd Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,4,10.75,5,11.4,1,0,19,0,1,1,0.2733
Change of Course,Equinculture,Female,Secondary Education - 12th Year of Schooling or Eq.,5,15.14285714,5,14.85714286,1,0,19,0,1,1,0.28
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,6,15.83333333,6,14.71428571,1,0,19,0,1,1,0.2133
International Student (Bachelor),Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13,6,13.5,1,0,20,1,1,1,0.2
3rd Phase - General Contingent,Equinculture,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,4,11.5,1,1,18,0,1,1,0.22
2nd Phase - General Contingent,Oral Hygiene,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.75,7,13.42857143,1,1,18,0,1,1,0.18
Technological Specialization Diploma Holders,Agronomy,Female,Technological Specialization Course,4,11.5,3,11.66666667,1,0,19,0,1,1,0.18
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.33333333,6,16,1,0,18,0,1,1,0.2267
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.83333333,6,13.83333333,1,0,20,0,1,1,0.2133
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.2325,8,13.2325,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14.16666667,6,14,1,1,18,0,1,1,0.1467
Change of Course,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,11,12.27272727,15,13.33333333,1,0,25,0,1,1,0.2
2nd Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.33333333,6,12.5,1,1,20,0,1,1,0.2133
1st Phase - General Contingent,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.5,6,12.5,1,0,19,0,1,1,0.18
3rd Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,3,11.33333333,3,10.66666667,1,0,18,1,1,1,0.3733
1st Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,2,10.5,4,10.5,1,0,18,0,1,1,0.3933
International Student (Bachelor),Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.4,4,12,1,0,19,0,1,1,0.2933
1st Phase - General Contingent,Animation and Multimedia Design,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,18,0,1,0,0.5867
Change of Course,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,2,10.66666667,5,11.5,1,0,19,0,1,1,0.3667
2nd Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.6,6,13.5,1,0,18,0,1,1,0.2733
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.07375,8,13.07375,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,1,12,1,0,20,0,1,1,0.4067
1st Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.33333333,6,14,1,1,20,0,1,1,0.1667
International Student (Bachelor),Social Service,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.42857143,6,12.33333333,1,0,21,0,1,1,0.24
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.78888889,7,13.46428571,1,1,18,0,1,1,0.22
Over 23 Years Old,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.2,3,10.66666667,1,0,26,0,1,1,0.18
Over 23 Years Old,Management,Female,Other - 11th Year of Schooling,5,12.2,5,11.6,1,0,41,1,1,1,0.2467
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.66666667,6,13.66666667,1,1,18,0,1,1,0.14
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.4025,8,14.4025,1,0,18,1,1,1,0.2133
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,16.3875,7,15.46875,1,0,31,0,1,1,0.2133
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.16666667,6,12.625,1,0,23,1,1,1,0.2133
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.98333333,6,14.98333333,1,0,19,0,1,1,0.2133
1st Phase - Special Contingent (Madeira Island),Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13,6,15,1,1,20,0,1,1,0.1733
